Question	Answer	Source
Is the digital KrisFlyer / PPS Club membership card available to all KrisFlyer and PPS Club members of all tiers?	Yes, the digital KrisFlyer / PPS Club membership card is available to all KrisFlyer and PPS Club members of all tiers.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
How can I download the digital KrisFlyer / PPS Club membership card?	You can download your digital KrisFlyer / PPS Club membership card via the SingaporeAir mobile app by following these steps: 1. Load the SingaporeAir mobile app (version 20.8.5 onwards) on your mobile device. 2. Log-in to your KrisFlyer account on the SingaporeAir mobile app. 3. Click on the "Membership Card" button.If you're an Apple user, you can also choose to add your KrisFlyer / PPS Club digital membership card to your Apple Wallet. More information can be found at this [link](https://www.singaporeair.com/en_UK/sg/ppsclub-krisflyer/digital-membership-card) .	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
How can I download the SingaporeAir mobile app?	Information on downloading the SingaporeAir can be found at [singaporeair.com/app](http://www.singaporeair.com/app).	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
Where can my digital KrisFlyer / PPS Club membership card be used?	Your digital KrisFlyer / PPS Club membership card works like your physical membership card. Present your digital membership card when you travel on Singapore Airlines and SilkAir, or when you transact with our KrisFlyer airline and non-airline partners, to enjoy the applicable membership privileges and benefits.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
With the introduction of the digital KrisFlyer / PPS Club membership card, can I still continue to use my physical membership card?	Yes, you can use both your physical and digital membership cards. Printed versions of the KrisFlyer Basic membership card will also be recognised.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
What are the features on my digital membership card?	Your digital KrisFlyer / PPS Club membership card contains your membership information, including : - * Name * KrisFlyer membership number * Membership Tier * Tier or Card expiry date as applicable, and * QR codeThe back of the digital KrisFlyer / PPS Club membership card provides additional account information that you may need, including : - * Your total KrisFlyer miles balance; and/or * Your current Elite Miles; and/or * Your current PPS Value; and * Requalification date where applicable	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
What is the purpose of the QR code on my digital membership card?	The QR code is encoded with key membership information including your tier, tier expiry, and card expiry, which can be scanned at touchpoints equipped with compatible QR code readers.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
How can I access the information at the back of my digital membership card?	To view the additional information at the back of your digital membership card, just click on the "i" tooltip located at the bottom-right of your digital membership card.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
How do I know when my digital KrisFlyer / PPS Club membership card was updated?	The back of your digital membership card displays details of the last update of your digital membership card.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
How do I update the information on my digital KrisFlyer / PPS Club membership card?	For iOS users, please enable the "Automatic updates" function at the back of the digital membership card, or pull the top of the digital membership card in your Apple Wallet to refresh. This is recommended so your digital membership card is updated regularly.For Android users, the information on your digital membership card is refreshed every time you access the digital membership card via "Membership card" tab from your SingaporeAir mobile app.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
Where can I find the expiry date of my digital membership card?	For Life Solitaire PPS Club members, the face of your digital membership card will display your card expiry date. For PPS Club and KrisFlyer Elite members, your tier expiry date is displayed on the face of your digital PPS Club or KrisFlyer Elite membership card. For KrisFlyer Basic members, there is no expiry date for your digital membership card.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
Why is there a difference between the expiry date on my digital membership card and my physical membership card?	The expiry date on the physical membership card is one month after your current qualification end date. This is to allow time for new physical membership card to be issued by mail.The expiry date on your digital membership card reflects your actual tier expiry date, which is the qualification end date for your current year of qualification.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
Will I continue receiving my physical membership card?	All PPS Club and KrisFlyer Elite members will continue to receive their physical membership cards in the mail upon qualification. However, in line with our efforts to streamline your travel experience, the issuance of physical KrisFlyer Basic membership cards will cease from Thursday 1 June 2017 (inclusive). KrisFlyer Basic members can still access a printable version of their membership card when they log in to their KrisFlyer account, under the "Profile" tab.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
Why am I unable to share the digital membership card using the "Share Pass" function on my iPhone?	The "Share Pass" function is not supported in this instance. As with physical membership cards, the digital KrisFlyer / PPS Club membership card is for use by the Principal member only, and is strictly non-transferable.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=48741
Can I earn KrisFlyer miles on all Singapore Airlines or SilkAir flights?	You can earn KrisFlyer miles on most booking classes on Singapore Airlines and Silkair flights. However, the earning rates vary and some booking classes, such as G on Singapore Airlines and SilkAir, won't earn you miles.How to earn milesNoteEconomy Class:Earn 100% of the actual miles flown in B, E, H, L, M, W or Y booking class Earn 50% of the actual miles flown in N or Q booking classEarn 10% of the actual miles flown in V or K booking class Premium Economy Class:Earn 110% of the actual miles flown in P, S or T booking classBusiness Class:Earn 125% of the actual miles flown in C, D, J, U or Z booking classFirst Class:Earn 150% of the actual miles flown in A or F booking classSingapore Airlines Suites:Earn 150% of the actual miles flown in F booking class * Please check with your travel agent or the relevant airline before making a reservation. * If you are checking in online, log in using your KrisFlyer membership number and PIN.Before you make a booking, please check with your travel agent, [local Singapore Airlines office](https://www.singaporeair.com/en_UK/contact-us/) or the operating partner airline to find out the number of KrisFlyer miles you'll earn on your flight.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Can I earn and redeem KrisFlyer miles on other partner airlines?	Yes, you can earn and redeem KrisFlyer miles on partner airlines. Please click on the respective links for more information: * [Mileage accural levels](http://www.singaporeair.com/saar5/pdf/ppsclub_krisflyer/charts/SQMI_AwardChart_23Mar.pdf) * [Award levels for Star Alliance carriers](http://www.singaporeair.com/en_UK/us/ppsclub-krisflyer/use-miles/redeem-miles/award-tickets-on-star-alliance-airlines/) * [Award levels for Partner airlines](http://www.singaporeair.com/en_UK/us/ppsclub-krisflyer/use-miles/redeem-miles/award-tickets-on-partner-airlines/)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Will I earn KrisFlyer miles when I travel on an award ticket?	No, you won't earn KrisFlyer miles when you redeem them for an award ticket.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Will I earn KrisFlyer miles on the redemption upgrade of my booking?	No, you won't earn KrisFlyer miles on your redemption upgrade. However, you will continue to earn KrisFlyer miles on your original booking class.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
I've bought a ticket on a child fare for my child, and a ticket on an adult fare for myself. Will my child earn the same number of KrisFlyer miles as I do?	Yes, children aged two years or more will earn the same number of KrisFlyer miles as adults in the same booking class.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Can I convert my credit/charge card points to KrisFlyer miles and credit them to another KrisFlyer account?	No. If you're the principal credit/charge cardholder, the credit/charge card points you convert to KrisFlyer miles can only be credited to your own KrisFlyer or PPS Club account.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Can I pool my miles with another KrisFlyer or PPS Club member?	No, as our earning and redemption processes are designed to maximize the benefits for individual travelers.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
How do I ensure that KrisFlyer miles are credited into my account?	Remember to quote your KrisFlyer or PPS Club membership number when you make a booking and present your KrisFlyer or PPS Club membership card at check-in or when you use the services of our partners. Sometimes, certain partners may have additional requirements - for instance, to quote a promotional code - so please check with them before you book.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Why do the miles earned from KrisFlyer partners take a longer time to be credited to my account?	When you use the services of our partners, they'll need to verify your transaction and membership status before crediting your miles. You'll normally see them between two and four weeks after your flight. Or six to eight weeks after you use the services of our non-airline partner. However, if it's been more than eight weeks and they're still not there, let us know.[Log in](https://www.singaporeair.com/kfLogin.form) and download a [Claim Missing Miles form](http://www.singaporeair.com/saar5/pdf/ppsclub_krisflyer/Retroactive_Mileage_Claim.pdf) if you've flown or used the services of one of our partners. You can find the form under the 'Claim missing miles' tab, under 'Miles'. Just: * [Log in](https://www.singaporeair.com/kfLogin.form) and click on Miles, then Claim Missing Miles. * Download the Claim Missing Miles form under Make a claim * For Airline Partners, KrisFlyer members can also make a claim online. Simply select 'Other Airlines' and provide the details of your flight(s).Alternatively, if you've flown on Singapore Airlines or SilkAir, or one of our partners within the last six months, simply complete the online form.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Can I submit a missing miles claim for my flights on Singapore Airlines or SilkAir before I enrolled as a KrisFlyer member?	Yes, as long as you'd taken those flights up to six months before the date of your enrolment. [Log in](https://www.singaporeair.com/kfLogin.form) to your KrisFlyer account and provide your full name, flight numbers and destinations.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
I will not be able to use an award ticket that I redeemed with my KrisFlyer miles. Will my KrisFlyer miles and airport taxes be refunded?	Yes, for a nominal service fee of US$30 if you're a KrisFlyer member or US$15 if you're a KrisFlyer Elite Silver, Elite Gold or PPS Club member, as long as your miles are still valid at the point of refund. Airport taxes will be refunded to your credit/debit card or by cheque.An additional service fee of US$75 applies if you cancel less than 24 hours before your flight. The additional service fee of US$75 will also apply if you don't show up for your flight or if you change your flight booking less than 24 hours before your flight. If a new ticket is reissued in your change of booking, there will be an additional service fee of US$12 for an online transaction or US$20 for an offline transaction.However, you won't receive a re-deposit of your KrisFlyer miles if you've partially used your award ticket - for instance, you've flown on the departure flight but are unable to make the return flight.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
I will not be able to use an award ticket that I redeemed with my KrisFlyer miles. How long will it be before my KrisFlyer miles and airport taxes are refunded?	Your KrisFlyer miles will take up to a week to be redeposited. Airport taxes will take up to three weeks to be processed. This does not include the time taken for credit card companies to reflect these refunds in your statements and/or the delivery time for cheques.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Who can be my redemption nominee?	Anyone at all. You can nominate up to five individuals (but not a corporation or legal entity) as your redemption nominees - which means that you can redeem your KrisFlyer miles for award tickets or flight upgrades for them, and/or pay for their tickets on Singapore Airlines and SilkAir with your KrisFlyer miles when you book online.Once you add someone, you can't change them for six months. And while adding someone is free, deleting them will cost you miles or money:Membership tierOnlineOfflineKrisFlyer3,000 KrisFlyer miles / US$305,500 KrisFlyer miles / US$55KrisFlyer Elite Silver1,500 KrisFlyer miles / US$154,000 KrisFlyer miles / US$40KrisFlyer Elite GoldFree2,500 KrisFlyer miles/ US$25PPS Club and Solitaire PPS ClubFreeFreeIf your redemption nominee is a child or an infant, he/she will still require the same number of KrisFlyer miles for redemption.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Can KrisFlyer or PPS Club members of any age redeem their KrisFlyer miles for award tickets?	A KrisFlyer or PPS Club member who is 12 years old or below cannot redeem his/her KrisFlyer miles for award tickets online, unless a redemption nominee who is 18 years old or above is travelling with him/her on the same flight.A KrisFlyer or PPS Club member who is between 12 and 17 years of age can redeem their KrisFlyer miles for award tickets online for themselves and his/her redemption nominees who are 18 years old or above, but can't do so for his/her redemption nominees who are below 18 years old.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Can I redeem my KrisFlyer miles online for a redemption nominee who is under 12 years of age?	Yes, as long as he/she is accompanied. Please get in touch with [KrisFlyer Membership Services](https://www.singaporeair.com/en_UK/contact-us/) if your redemption nominee who is under 12 years of age will be travelling unaccompanied.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34374
Why are Singapore Airlines and SilkAir folding fuel and insurance surcharges into base airfares?	Since 2008, we have already been showing the full price payable, inclusive of taxes and surcharges in our airfare advertising. The intention of removing fuel and insurance surcharges as a separate component and incorporating them into a single base airfare is to provide you with a more simplified fare structure. Taxes and charges levied by airport/government authorities will continue to be listed separately on your ticket.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=47933
From which date onwards will I no longer see a separate fuel and insurance surcharge component for my ticket purchases?	The folding in of fuel and insurance surcharges into the base airfares on Singapore Airlines and SilkAir flights will take place progressively from 28 March 2017.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=47933
How will I know if fuel and insurance surcharges are still charged as a separate component in my Singapore Airlines and/or SilkAir ticket?	Fuel and insurance surcharges are denoted by the "YQ" code, as reflected in the "Payment Details" section of your e-ticket. Once the fuel and insurance surcharges have been incorporated into the base airfare, the e-ticket receipt will either: (i) Not include the "YQ" tax code under "Taxes", OR (ii) "$0.00" will be shown beside the "YQ" code If you are purchasing your tickets via singaporeair.com or silkair.com, you will no longer see "Airline Insurance (YQAD)" and "Airline Fuel Surcharge (YQAC)" listed under the cost breakdown for airport and government taxes.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=47933
How does this folding-in affect the ticket prices that I will be paying?	There will be no immediate change to the total airfare payable as a direct consequence from the folding in of fuel and insurance surcharges into a single base airfare when you purchase your tickets with us. Taxes and charges levied by airport/government authorities will continue to be listed separately on your ticket. Any change to the all-in fares would be due solely to seasonal review in pricing, based on prevailing market supply and demand conditions, and fluctuation in currency exchange rates.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=47933
My travel itinerary involves flights on other airlines. Will I still be charged fuel and insurance surcharge?	If your travel itinerary involve other airlines' flights, fuel and insurance surcharges may still be applicable. The folding in of fuel and insurance surcharges into base airfares apply only for Singapore Airlines and SilkAir flights.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=47933
Will fuel and insurance surcharges apply on Singapore Airlines or SilkAir codeshare flights operated by other airlines?	For flights where Singapore Airlines or SilkAir are the marketing carriers, fuel and insurance surcharges may still be applicable.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=47933
Why am I still seeing fuel and insurance surcharge as a separate component on my e-ticket receipts?	It could be due to one of the following reasons: (i) Your travel itinerary include other airlines' flight numbers, where fuel and/or insurance surcharge may still be applicable depending on other airlines' policy; or (ii) Your ticket was partially flown/utilised and was re-issued, from an original ticket which had fuel and insurance surcharges ("YQ") listed as a separate component from the base airfare; or (iii) Your ticket was issued/re-issued before the cutover date.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=47933
Can I ask for a refund of the fuel and insurance surcharges that I have paid?	There is no change in the total airfare payable, as a result of the folding in of fuel and insurance surcharges in the base airfare. We do not refund the base airfare or the fuel surcharges separately from each other. If you would like to refund your entire ticket, it would be subjected to eligibility conditions and applicable fees.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=47933
The ticket I purchased has fuel and insurance surcharges listed as a separate component of the base airfare. If I need to make changes to my itinerary, will I still be charged fuel and insurance surcharges?	If you have not flown on any of the travel sectors on your ticket itinerary and would like to make changes to your itinerary, fuel and insurance surcharges will no longer reflect as a separate component of your air ticket. You will however see a higher base airfare on your new ticket as the surcharges are now folded in. If you have travelled on at least one travel sector in your ticket itinerary, fuel and insurance surcharges will continue to reflect as a separate component and will not be folded into the base airfares for your new ticket.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=47933
Is it safe to use mobile phones on an aircraft?	The onboard connectivity systems on board our flights have been tested and certified by various recognised aviation authorities around the world. With these systems, the use of mobile phones during the flight will not impact our aircraft systems.You can even use your mobile phones during taxi, take-off and landing, subject to local regulatory and operational requirements.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29922
When can I begin using the WiFi service?	The WiFi service can only operate when the aircraft is at cruising altitude and flying over authorised countries or international waters. Our service providers are working to obtain authorisations from the areas where there isn't service coverage right now.For information on where our WiFi service is currently available, check the KrisWorld magazine in your seat pocket.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29922
How can I get the most out of the data allowance for my volume-based WiFi purchase?	You're advised to disable any automatic software updates for the applications you have on your smart phone, tablet or laptop, even if these applications are running in the background.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29922
Can I make or receive calls during the flight?	No, voice calls are not available from your mobile phone. If you wish to make a call, you're welcome to use our [in-seat telephone.](https://www.singaporeair.com/en_UK/flying-withus/entertainment/inflight-connectivity/)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29922
When can I begin using the mobile network service?	You can use your phone on the mobile network service any time that the 'Switch off phone' cabin signs are not illuminated. When the signs are illuminated, your mobile phone must be switched off or set to 'Flight mode'.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29922
Why can't I connect to the mobile network service?	To use this service, your mobile phone must be compatible with GSM1800 and the roaming function must be enabled on your device. In addition, your mobile service provider must have a roaming agreement with our connectivity service provider, OnAir or Panasonic/Aeromobile.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29922
Who can enrol as a KrisFlyer member?	Anyone two years of age or above can join KrisFlyer.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
Is there an enrolment fee?	No, KrisFlyer membership is free.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
Do I have to live in Singapore to join KrisFlyer?	No, KrisFlyer is a global frequent flyer programme and our members come from all over the world.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
When will I receive my permanent KrisFlyer membership card?	Your permanent KrisFlyer membership card will be sent to you by post, as soon as you've made your first qualifying transaction - which could be a flight on Singapore Airlines, SilkAir or one of our many airline and non-airline partners.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
I've lost my KrisFlyer membership card. How can I get a new one?	Please get in touch with KrisFlyer Membership Services. They'll provide you with a replacement membership card for a nominal fee of 1,000 KrisFlyer miles or USD 10. This service is free for KrisFlyer Elite Silver, Elite Gold and PPS Club members.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
Will my account expire?	Your KrisFlyer account will remain valid for 39 months from the end of the month of your last earning transaction. Your account will also expire if you don't make a qualifying transaction within 18 months of your enrolment as a KrisFlyer member.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
If my KrisFlyer account has expired, can I enrol as a new member?	Yes, you can register as a new member [here](/en_UK/ppsclub-krisflyer/registration-form/)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
If I've forgotten my KrisFlyer membership number, can I enrol as a new member?	Each individual can only have one membership account, so you won't be able to enrol as a new member. Please go to Log-in Help and use the KrisFlyer number search option. You will have to key in your first name, last name, date of birth and the email address you have registered with your KrisFlyer account. You will also need to provide the correct answer to the security question you had previously selected. When the correct information has been provided, your KrisFlyer number will be emailed to you. You can also get in touch with [KrisFlyer Membership Services](/en_UK/contact-us/)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
Can I have a membership account for myself and for my family?	No, KrisFlyer membership is only open to individuals. Each individual can only have one membership account.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
I've recently earned more than 25,000 Elite miles over the past 12 months. When will I receive my new KrisFlyer Elite Silver membership card?	Your KrisFlyer Elite Silver welcome kit, which includes your new membership card, will take up to four weeks from the date your Elite miles are credited to be processed. All welcome kits are delivered from Singapore, so if you live in another country, please allow more time for the postal delivery process.The same delivery time applies for KrisFlyer Elite Gold and PPS Club welcome kits.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
Why is the expiry date on my Elite membership card different from the membership expiry date stated when I log in online?	As an Elite Silver or Elite Gold, your membership year lasts until the end of the 12th month from the date of your upgrade or renewal. For your convenience, your membership card is valid for an extra month after the end of your membership year so that you can continue to enjoy the benefits of your status as you wait for the delivery of your new membership card.However, if your membership status is upgraded or not renewed, the benefits of the new tier will take effect from the start of your new membership year - and not after the expiry date on your membership card.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
How can I subscribe to KrisFlyer News?	It's easy. Just: * [Log in](/kfLogin.form) and click on Profile, then Preferences. * Click on the 'Edit' button. * Check the box against 'KrisFlyer electronic newsletter'. * Click on the 'Save' button.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
What is the difference between KrisFlyer miles and Elite miles?	KrisFlyer miles are earned through both flight and non-flight related activities, and can be used for the redemption of award flights and upgrades, among many other options.Elite miles can only be earned when flying with Singapore Airlines, SilkAir and selected partner airlines. These miles count towards Elite Silver and Elite Gold tier qualification. Similar to PPS Value, they are not redeemable for award flights, upgrade awards or purchase of airfares.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
How can I access my KrisFlyer account on singaporeair.com?	Watch this video to learn more about accessing your KrisFlyer account on singaporeaircom .	https://www.singaporeair.com/en_UK/in/faqCategory/?category=33956
How does mixing KrisFlyer miles and cash work?	When you book on singaporeair.com, you can use your KrisFlyer miles to pay for all or part of your fare (including the associated taxes and surcharges*) on flights operated by Singapore Airlines or SilkAir. You can also use your KrisFlyer miles to purchase your Preferred Seats on flights operated by Singapore Airlines. After using your miles, the remainder of your fare will have to be paid for using your credit/debit card. Unfortunately, no physical cash can be accepted.If you book your ticket or Preferred Seat through travel agents or Singapore Airlines ticket offices or call centres, you will not have the option to mix your KrisFlyer miles and cash for payment.*Please note that fuel and insurance surcharges will be removed as a separate component and folded into the base airfare of the ticket price for Singapore Airlines and SilkAir flights progressively from 28 March 2017. Find out more [here](/en_UK/sg/ppsclub-krisflyer/use-miles/redeem-miles/kf-change "Important Changes to Flight Redemption ").	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Why should I choose to mix KrisFlyer miles and cash?	When you mix your KrisFlyer miles and cash to purchase tickets or make seat selections on [singaporeair.com](http://www.singaporeair.com/), you can: * pay less on your credit/debit card; * start using your KrisFlyer miles earlier than before (you only need a minimum of 980 KrisFlyer miles, depending on the conversion rate); * have more avenues to use your KrisFlyer miles before they expire; and * enjoy the flexibility of paying for all or part of your fare with your miles on [singaporeair.com ](http://www.singaporeair.com/)for any available seat on any available flight to any Singapore Airlines or SilkAir destination.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Can I mix KrisFlyer miles and cash if I am not a KrisFlyer member?	No. Only KrisFlyer members can earn KrisFlyer miles, and use them to purchase tickets on Singapore Airlines or SilkAir on	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Can I use miles from another frequent flyer programme to purchase my ticket on Singapore Airlines or SilkAir?	No. Only KrisFlyer miles can be used to purchase your flight on Singapore Airlines or SilkAir on	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
What is the minimum number of KrisFlyer miles required?	A minimum of 980 KrisFlyer miles is required before you can mix KrisFlyer miles and cash to purchase tickets and/or seat selection privileges. The exact amount of miles required may vary due to the conversion rate.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
What if my seat selection costs less than 980 KrisFlyer miles?	You'll be charged a minimum of 980 KrisFlyer miles, even if your preferred seat selection costs less. The additional miles will be used to offset other associated taxes and surcharges* on your ticket. *Please note that fuel and insurance surcharges will be removed as a separate component and will be folded into the base airfare of the ticket price for Singapore Airlines and SilkAir flights progressively from 28 March 2017. Find out more [here](/en_UK/sg/ppsclub-krisflyer/use-miles/redeem-miles/kf-change "Important Changes to Flight Redemption ").	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Can I mix my KrisFlyer miles and cash to purchase tickets on SilkAir?	You can mix your KrisFlyer miles and cash to purchase tickets on flights operated by SilkAir, as long as they're booked on [singaporeair.com](http://www.singaporeair.com/). If you book your tickets on [silkair.com](http://www.silkair.com/), you will not have the option to mix your KrisFlyer miles and cash for payment.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Is any type of fare excluded?	You cannot mix your KrisFlyer miles and cash to purchase: * corporate fares * group fares * any fare that includes a flight segment that's not operated by Singapore Airlines or SilkAir. This includes codeshare, interline, and round-the-world itineraries.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Can I mix my KrisFlyer miles and cash to pay for the taxes and charges on my award ticket or flight upgrade?	No, you can't mix your KrisFlyer miles and cash for the taxes and charges associated with award tickets and flight upgrades.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Can I use my KrisFlyer miles to pay for any other service or product?	Yes, you can pay for your Preferred Seats with your KrisFlyer miles. However, this will only be available when you book your Preferred Seat online together with your ticket. If you have previously booked or purchased a ticket, you can only purchase your Preferred Seat through credit/debit card.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Can I mix my KrisFlyer miles and cash for my family member's and/or friends' tickets and Preferred Seats?	Yes, as long as they are among your five redemption nominees. To find out how to add or change your redemption nominees, go to [Redeem miles](http://www.singaporeair.com/en_UK/sg/ppsclub-krisflyer/use-miles/redeem-miles)	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
I've purchased a Singapore Airlines ticket by mixing my KrisFlyer miles and cash. Can I use the ticket to fly on another airline?	No. Tickets purchased with KrisFlyer miles can only be used on flights operated by Singapore Airlines or SilkAir. They cannot be used for travel on any other airline.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Is mixing KrisFlyer miles and cash the same as redeeming miles for award tickets and flight upgrades?	No. When you choose to mix KrisFlyer miles and cash, you're using your miles as you would a credit/debit card, Masterpass™ or PayPal. This means you have a choice of any available seat on any available flight operated by Singapore Airlines or SilkAir, when you book on	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Can I continue to redeem my KrisFlyer miles for Saver and Advantage awards?	Yes, you can continue to redeem your KrisFlyer miles for Saver and Advantage awards as well as flight upgrades.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Can I use my KrisFlyer miles to pay for the associated taxes and charges on my Saver or Advantage award?	No, but we're working towards making this option available to you soon.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=34700
Why must I present my credit/debit card for verification before departure?	When you use your credit/debit card on our website, our fraud detection tool uses several types of information in your booking - such as the time to departure, your point of departure and destinations. A sophisticated algorithm determines the risk level of your payment transaction. If the risk level of your booking is high, you may be required to verify your credit/debit card in person, as well as provide photo identification. This verification process protects you against credit/debit card fraud and ensures your security as you use your credit/debit card on our website.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29864
I've booked a flight for someone else and paid with my credit/debit card. Can the passenger present the credit/debit card for verification on my behalf?	No. For your security, it's mandatory for you, the cardholder, to present the physical credit/debit card in person for verification. If you're unable to do this, get in touch with your [local Singapore Airlines office](/en_UK/contact-us/).	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29864
What are the Verified by Visa and MasterCard SecureCode programmes?	They ensure the security of your online transactions with Visa and MasterCard credit/debit cards, by requesting that you enter a unique password for each online transaction. This helps to prevent the unauthorised use of your credit/debit card online.Click [here]() for more information on Verified by Visa. Click [here]() for more information on MasterCard SecureCode.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29864
What is PayPal?	PayPal is a secure online payment method that allows you to pay for your purchases on singaporeair.com with money stored in your PayPal account. You can also link your PayPal account to your bank account or credit/debit card and use them for payment. Click [here]() for more information on PayPal.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29864
Must I be a registered PayPal user?	Yes, you can only choose the PayPal payment option on singaporeair.com if you're a registered PayPal user with a username and password to access your PayPal account online.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29864
Is PayPal available worldwide?	Right now, PayPal is available for bookings made out of Singapore, Australia, Greece, Hong Kong, Japan, Malaysia, the Netherlands, Norway, Spain, Taiwan, the United Kingdom and the USA. We're working towards making it available in more countries soon.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29864
I've paid for my booking through PayPal. Can I change my itinerary, cancel my flight and/or request for a refund on singaporeair.com?	No, you're not able to change your itinerary, cancel your flight and/or request for a refund on singaporeair.com if you've paid using PayPal. Please get in touch with your [local Singapore Airlines office](/en_UK/contact-us/) instead. Additional charges, if any, are payable with your credit/debit card.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29864
What can I do if I see an unauthorised booking on singaporeair.com paid using my PayPal account or credit/debit card?	If you notice any unauthorised activity on your PayPal account, report it to the PayPal Resolution Centre immediately. If you notice any unauthorised activity on your credit/debit card, report it to your card-issuing bank.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29864
Can I pay for travel insurance and/or a Singapore Stopover Holiday through PayPal?	Not yet, but we're working towards making this payment option available to you soon. In the meantime, you can pay for your travel insurance and Singapore Stopover Holiday with your credit/debit card.	https://www.singaporeair.com/en_UK/in/faqCategory/?category=29864
