Question_id	Question	Answer	PageRank
120	Can I buy KrisFlyer miles if I don’t have enough for an award ticket or a flight upgrade?	Yes you can, if you have at least half the number of KrisFlyer miles required for an award flight or upgrade. Buy the rest at US$40 (or an equivalent amount in your local currency) for every 1,000 miles.You can buy these miles as you’re redeeming online, and they will be used immediately. If you prefer, you can also buy miles for redemption by downloading and completing the Miles Top-up Request form. We’ll take at least three days to process your request.	0
121	Can I receive my KrisFlyer or PPS Club account statements online?	The quickest way to view your KrisFlyer or PPS Club account statement is by logging in to your account with your KrisFlyer or PPS Club membership number and PIN.When you’re logged in, you can also subscribe to account statements via email. You’ll receive a summary of your transactions every two months – as long as you’ve made a transaction in the preceding two-month period or have KrisFlyer miles expiring within the next six months.Just:	0
122	How do I link my KrisFlyer account to my PAssion Card?	Simply:	0
123	How do I convert my KrisFlyer miles to TapForMore Points?	To convert your KrisFlyer miles to TapForMore Points:	0
124	How many KrisFlyer miles do I need in order to redeem TapForMore Points?	A minimum of 3,000 KrisFlyer miles is required for each conversion and each member can convert up to a maximum of 80,000 KrisFlyer miles per calendar year (i.e 1st January to 31st December). Please note that all KrisFlyer miles converted cannot be reversed.	0
125	How do I link my KrisFlyer account to my Velocity Frequent Flyer account?	Simply:	0
126	How do I convert my KrisFlyer miles to Velocity Points?	To convert your KrisFlyer miles to Velocity Points:	0
127	How many KrisFlyer miles do I need in order to redeem Velocity Points?	A minimum of 5,000 KrisFlyer miles is required for each conversion. Please note that all miles converted cannot be reversed.	0
128	How do I redeem my KrisFlyer miles for Scoot vouchers?	To redeem Scoot vouchers with your KrisFlyer miles:You’ll receive an email with your voucher details if your redemption is successful. Remember to key in the unique voucher code when you’re making your booking with Scoot. Voucher terms and conditions apply.	0
129	How do I redeem my KrisFlyer miles for KrisShop items?	You can redeem your miles for KrisShop items on krisshop.com in 3 simple steps:Alternatively, if you are already logged in to your KrisFlyer account on singaporeair.com, you can go to Miles > How to Use (KrisShop) to be directed straight to krisshop.com.	0
130	Is there a minimum number of miles required for my KrisShop purchases?	A minimum of 3,000 KrisFlyer miles is required per transaction.	0
131	How many KrisFlyer miles can I redeem with every dollar spend on krisshop.com?	Every 125 KrisFlyer miles give you approximately S$1 in spend on krisshop.com. This rate is subject to change without notice. The latest rate will be published on singaporeair.com and krisshop.com.	0
132	Can I use my KrisFlyer miles to pay for the entire value of my purchases on krisshop.com?	KrisFlyer miles can be redeemed for the full value of the items you purchase on krisshop.com, but cannot be used to offset any taxes, delivery charges, custom duty and postal clearance charges. Taxes, delivery charges, custom duty and postal clearance charges are applicable for home delivery, and varies between countries. Any customs duty, postal clearance and other customs-related charges, if applicable, will be borne by members and paid directly to the respective custom and/or courier upon receipt of items.	0
133	Can I mix miles and cash for my purchases on krisshop.com?	You may mix miles and cash to pay for your purchases on krisshop.com, or redeem for the items in full, excluding any taxes, delivery charges, custom duty and postal clearance charges. Taxes, delivery charges, custom duty and postal clearance charges are applicable for home delivery, and varies between countries. Any customs duty, postal clearance and other customs-related charges, if applicable, will be borne by members and paid directly to the respective custom and/or courier upon receipt of items.	0
134	Can I use KrisFlyer miles to redeem for KrisShop purchases made on board a Singapore Airlines flight?	Redemption with KrisFlyer miles for KrisShop items is only available online at krisshop.com. Redemption with KrisFlyer miles for KrisShop items is not available for inflight purchases.	0
135	If I mix miles and cash, will I earn KrisFlyer miles on the cash portion of my purchases on krisshop.com?	Part miles part cash purchases on krisshop.com will still earn KrisFlyer miles on the portion of the purchase paid with a credit / debit card.  Every S$1 payable with a credit / debit card earns 1.5 KrisFlyer miles.  This rate is subject to change without notice. The latest rate will be published on singaporeair.com and krisshop.com. KrisFlyer miles are only earned from the nett purchase amount, excluding taxes, delivery charges, import duties and postal clearance (which are applicable for home delivery).	0
136	How long will it take for the KrisFlyer miles earned on my KrisShop purchase to be credited into my KrisFlyer account?	Please allow 6 to 8 weeks for the miles to be credited into your KrisFlyer account after your transaction.	0
137	Can I redeem for all items on krisshop.com?	All items on krisshop.com, unless otherwise stated, can be redeemed using miles or part miles part cash.	0
138	Can I redeem for KrisShop items by calling the KrisFlyer Membership Services or KrisShop Hotline or Singapore Airlines office?	Redemption with KrisFlyer miles for KrisShop items is only available online at krisshop.com.  This facility is not available at KrisFlyer Membership Services or KrisShop Hotline or Singapore Airlines offices.	0
139	I am a PPS member. Will I still get my 10% PPS discount on KrisShop items if I use my KrisFlyer miles to pay?	The existing 10% PPS discount will still be applicable, until further notice. The latest information will be published on krisshop.com.	0
140	Can I use KrisShop vouchers to pay for purchases on krisshop.com, if I am also using miles to pay?	KrisShop e-vouchers can be used as one of the payment modes on krisshop.com. Paper vouchers (e.g. KrisShop Vouchers, Inflight Gift Vouchers and PPS Club Vouchers) are not eligible for purchases via krisshop.com.	0
141	Can I collect the items I purchased on krisshop.com on my next Singapore Airlines flight? Must I personally be on the flight or can I appoint a proxy to collect on my behalf?	You may choose ‘Home Delivery’ for your purchases to be delivered right to your doorstep (delivery charges apply) or choose ‘Pre-order’ to collect the items on your next flight on Singapore Airlines out of Singapore. The principal KrisFlyer member whose miles are used for the transaction has to be physically present to collect the items onboard.	0
142	For home delivery, when will my KrisShop purchase be delivered?	The time taken for delivery depends on where the items are shipped to. Please refer to DFASS (Singapore) Pte Ltd’s Order FAQ on krisshop.com.	0
143	I need to make changes to my KrisShop order due to change of flight details / delivery information. Who do I contact?	For changes to flight details / delivery information, please contact DFASS (Singapore) Pte Ltd.	0
144	Can my KrisFlyer miles be refunded?	KrisFlyer miles used for purchases on krisshop.com are non-refundable.	0
145	Can my KrisFlyer miles be refunded if I wish to make changes to my payment (e.g. use more miles or use more cash to pay)?	KrisFlyer miles used for purchases on krisshop.com are non-refundable.	0
146	What is the Replacement Policy for KrisShop purchases?	Purchases on krisshop.com using KrisFlyer miles are non-refundable and non-exchangeable. Please visit krisshop.com for all other KrisShop terms and conditions.	0
147	Is the KrisFlyer miles balance shown on krisshop.com accurate?	The available KrisFlyer miles balance (as well as other KrisFlyer information) reflected on krisshop.com is as at the time of login. Please log in to your KrisFlyer account on singaporeair.com to check your latest miles balance.	0
148	How can I check my latest miles balance after my purchase?	Please log in to your KrisFlyer account on singaporeair.com to check your latest miles balance after your purchase. The KrisShop transaction will be reflected in your recent activities.	0
149	Who should I approach to find out more about KrisShop redemption?	Please contact KrisFlyer Membership Services for queries relating to the usage of KrisFlyer miles. For purchase or product-related queries, please contact DFASS (Singapore) Pte Ltd.	0
150	The product I purchased is defective. Who should I contact?	For product-related queries, please contact DFASS (Singapore) Pte Ltd.	0
151	Who should I call when I face system issues during my KrisShop redemption transactions?	For issues with KrisFlyer log-in, please contact KrisFlyer Membership Services. For system issues that occur on krisshop.com, please contact DFASS (Singapore) Pte Ltd.	0
152	How do I link my KrisFlyer account to my Golden Circle account?	Simply:	0
153	How do I convert my KrisFlyer miles to GC Award Points?	To convert your KrisFlyer miles to GC Award Points:	0
154	How will my KrisFlyer miles be used to support Make-A-Wish?	The donated miles will be used to redeem for flights for the beneficiaries of Make-A-Wish Singapore in the fulfilment of wishes that require travel.	0
155	Do my miles go to Make-A-Wish International or Make-A-Wish Singapore?	Miles will go to Make-A-Wish Singapore only.	0
156	I do not reside in Singapore. Can I donate my miles?	Yes, all members can donate their miles to Make-A-Wish Singapore.	0
157	I have donated my KrisFlyer miles. Can I claim for tax deductions in my personal income tax returns?	As the donation of miles does not fall under any of the donation schemes as specified by the Inland Revenue of Singapore (IRAS), it currently does not qualify for tax deductions in Singapore. For members residing outside of Singapore, please check with the relevant authorities in your country.	0
158	I want to donate more than 100,000 miles. How can I do this?	Multiple transactions are allowed. Simply proceed to make another donation.	0
159	Will the miles I donate to Make-A-Wish Singapore expire?	All donated miles will remain valid for use by the beneficiaries of Make-A-Wish Singapore to fulfil their wishes in the form of flights or in kind.	0
160	I don’t have enough miles, but I would like to help. Can I purchase miles to donate to Make-A-Wish Singapore?	No, you cannot purchase miles for donation. However, please visit http://www.makeawish.org.sg/ for more information on how else you can support Make-A-Wish Singapore. Alternatively, find out how you can earn more miles here.	0
161	I know a child who can benefit from this. What do I do?	Please visit http://www.makeawish.org.sg/ to refer a child to Make-A-Wish Singapore, or for more details.	0
162	How do I register to be eligible for membership status match to Golden Circle Jade?	As a KrisFlyer Elite Gold or PPS Club member, you are eligible to register for membership status match to Golden Circle Jade if you are currently a Golden Circle Gold member.To register for the membership status match to Golden Circle Jade:	0
163	How many KrisFlyer miles do I need in order to redeem GC Award Points?	A minimum of 20,000 KrisFlyer miles is required for each conversion and each member can convert up to a maximum of 180,000 KrisFlyer miles per calendar year (i.e 1st January to 31st December). Please note that all KrisFlyer miles converted cannot be reversed.	0
164	I have successfully registered for Infinite Journeys status match.  How long will it take for me to get my membership status upgrade with Infinite Journeys?	If you are a Golden Circle Jade/ Diamond member and have successfully registered for status match to KrisFlyer Elite Gold, you will be upgraded to KrisFlyer Elite Silver membership status within 6 to 8 weeks of registration. Once you have completed the stated requirements for your tier, you will be further upgraded to KrisFlyer Elite Gold membership status within 6 to 8 weeks of completion.If you are a KrisFlyer Elite Gold or PPS Club member and have successfully registered for status match to Golden Circle Jade, you will be upgraded to Golden Circle Jade membership status within 6 to 8 weeks of completion of the stated requirement.	0
165	How do I find out more about Infinite Journeys?	Visit infinitejourneys.com to find out more.	0
166	How do I redeem my KrisFlyer miles for tickets on singaporeair.com?	Learn how you can redeem your KrisFlyer miles  in a few simple steps.	0
167	Why are Singapore Airlines and SilkAir folding fuel and insurance surcharges into base airfares?	Since 2008, we have already been showing the full price payable, inclusive of taxes and surcharges in our airfare advertising. The intention of removing fuel and insurance surcharges as a separate component and incorporating them into a single base airfare is to provide you with a more simplified fare structure. Taxes and charges levied by airport/government authorities will continue to be listed separately on your ticket.	0
168	From which date onwards will I no longer see a separate fuel and insurance surcharge component for my ticket purchases?	The folding in of fuel and insurance surcharges into the base airfares on Singapore Airlines and SilkAir flights will take place progressively from 28 March 2017.	0
169	How will I know if fuel and insurance surcharges are still charged as a separate component in my Singapore Airlines and/or SilkAir ticket?	Fuel and insurance surcharges are denoted by the “YQ” code, as reflected in the “Payment Details” section of your e-ticket. Once the fuel and insurance surcharges have been incorporated into the base airfare, the e-ticket receipt will either:     (i) Not include the “YQ” tax code under “Taxes”, OR     (ii) ”$0.00” will be shown beside the “YQ” code If you are purchasing your tickets via singaporeair.com or silkair.com, you will no longer see “Airline Insurance (YQAD)” and “Airline Fuel Surcharge (YQAC)” listed under the cost breakdown for airport and government taxes.	0
170	How does this folding-in affect the ticket prices that I will be paying?	There will be no immediate change to the total airfare payable as a direct consequence from the folding in of fuel and insurance surcharges into a single base airfare when you purchase your tickets with us. Taxes and charges levied by airport/government authorities will continue to be listed separately on your ticket. Any change to the all-in fares would be due solely to seasonal review in pricing, based on prevailing market supply and demand conditions, and fluctuation in currency exchange rates.	0
171	My travel itinerary involves flights on other airlines. Will I still be charged fuel and insurance surcharge?	If your travel itinerary involve other airlines’ flights, fuel and insurance surcharges may still be applicable. The folding in of fuel and insurance surcharges into base airfares apply only for Singapore Airlines and SilkAir flights.	0
172	Will fuel and insurance surcharges apply on Singapore Airlines or SilkAir codeshare flights operated by other airlines?	For flights where Singapore Airlines or SilkAir are the marketing carriers, fuel and insurance surcharges may still be applicable.	0
173	Why am I still seeing fuel and insurance surcharge as a separate component on my e-ticket receipts?	It could be due to one of the following reasons:      (i) Your travel itinerary include other airlines’ flight numbers, where fuel and/or insurance surcharge may still be applicable depending on other airlines’ policy; or      (ii) Your ticket was partially flown/utilised and was re-issued, from an original ticket which had fuel and insurance surcharges (“YQ”) listed as a separate component from the base airfare; or      (iii) Your ticket was issued/re-issued before the cutover date.	0
174	Can I ask for a refund of the fuel and insurance surcharges that I have paid?	There is no change in the total airfare payable, as a result of the folding in of fuel and insurance surcharges in the base airfare. We do not refund the base airfare or the fuel surcharges separately from each other. If you would like to refund your entire ticket, it would be subjected to eligibility conditions and applicable fees.	0
175	The ticket I purchased has fuel and insurance surcharges listed as a separate component of the base airfare. If I need to make changes to my itinerary, will I still be charged fuel and insurance surcharges?	If you have not flown on any of the travel sectors on your ticket itinerary and would like to make changes to your itinerary, fuel and insurance surcharges will no longer reflect as a separate component of your air ticket. You will however see a higher base airfare on your new ticket as the surcharges are now folded in. If you have travelled on at least one travel sector in your ticket itinerary, fuel and insurance surcharges will continue to reflect as a separate component and will not be folded into the base airfares for your new ticket.	0
176	Is it safe to use mobile phones on an aircraft?	The onboard connectivity systems on board our flights have been tested and certified by various recognised aviation authorities around the world. With these systems, the use of mobile phones during the flight will not impact our aircraft systems.You can even use your mobile phones during taxi, take-off and landing, subject to local regulatory and operational requirements.	0
177	When can I begin using the WiFi service?	The WiFi service can only operate when the aircraft is at cruising altitude and flying over authorised countries or international waters. Our service providers are working to obtain authorisations from the areas where there isn’t service coverage right now.For information on where our WiFi service is currently available, check the KrisWorld magazine in your seat pocket.	0
178	How can I get the most out of the data allowance for my volume-based WiFi purchase?	You’re advised to disable any automatic software updates for the applications you have on your smart phone, tablet or laptop, even if these applications are running in the background.	0
179	Can I make or receive calls during the flight?	No, voice calls are not available from your mobile phone. If you wish to make a call, you’re welcome to use our in-seat telephone.	0
180	When can I begin using the mobile network service?	You can use your phone on the mobile network service any time that the ‘Switch off phone’ cabin signs are not illuminated. When the signs are illuminated, your mobile phone must be switched off or set to ‘Flight mode’.	0
181	Why can't I connect to the mobile network service?	To use this service, your mobile phone must be compatible with GSM1800 and the roaming function must be enabled on your device. In addition, your mobile service provider must have a roaming agreement with our connectivity service provider, OnAir or Panasonic/Aeromobile.	0
182	Who can enrol as a KrisFlyer member?	Anyone two years of age or above can join KrisFlyer. Join now.	0
183	Is there an enrolment fee?	No, KrisFlyer membership is free. Join now.	0
184	Do I have to live in Singapore to join KrisFlyer?	No, KrisFlyer is a global frequent flyer programme and our members come from all over the world. Join now.	0
185	When will I receive my permanent KrisFlyer membership card?	Your permanent KrisFlyer membership card will be sent to you by post, as soon as you’ve made your first qualifying transaction – which could be a flight on Singapore Airlines, SilkAir or one of our many airline and non-airline partners.	0
186	I’ve lost my KrisFlyer membership card. How can I get a new one?	Please get in touch with KrisFlyer Membership Services. They’ll provide you with a replacement membership card for a nominal fee of 1,000 KrisFlyer miles or USD 10. This service is free for KrisFlyer Elite Silver, Elite Gold and PPS Club members.	0
187	Will my account expire?	Your KrisFlyer account will remain valid for 39 months from the end of the month of your last earning transaction. Your account will also expire if you don’t make a qualifying transaction within 18 months of your enrolment as a KrisFlyer member.	0
188	If my KrisFlyer account has expired, can I enrol as a new member?	Yes, you can register as a new member here.	0
189	If I’ve forgotten my KrisFlyer membership number, can I enrol as a new member?	Each individual can only have one membership account, so you won’t be able to enrol as a new member. Please go to Log-in Help and use the KrisFlyer number search option. You will have to key in your first name, last name, date of birth and the email address you have registered with your KrisFlyer account.  You will also need to provide the correct answer to the security question you had previously selected. When the correct information has been provided, your KrisFlyer number will be emailed to you. You can also get in touch with KrisFlyer Membership Services.	0
190	Can I have a membership account for myself and for my family?	No, KrisFlyer membership is only open to individuals. Each individual can only have one membership account.	0
191	I’ve recently earned more than 25,000 Elite miles over the past 12 months. When will I receive my new KrisFlyer Elite Silver membership card?	Your KrisFlyer Elite Silver welcome kit, which includes your new membership card, will take up to four weeks from the date your Elite miles are credited to be processed. All welcome kits are delivered from Singapore, so if you live in another country, please allow more time for the postal delivery process.The same delivery time applies for KrisFlyer Elite Gold and PPS Club welcome kits.	0
192	Why is the expiry date on my Elite membership card different from the membership expiry date stated when I log in online?	As an Elite Silver or Elite Gold, your membership year lasts until the end of the 12th month from the date of your upgrade or renewal. For your convenience, your membership card is valid for an extra month after the end of your membership year so that you can continue to enjoy the benefits of your status as you wait for the delivery of your new membership card.However, if your membership status is upgraded or not renewed, the benefits of the new tier will take effect from the start of your new membership year – and not after the expiry date on your membership card.	0
193	How can I subscribe to KrisFlyer News?	It’s easy. Just:	0
194	What is the difference between KrisFlyer miles and Elite miles?	KrisFlyer miles are earned through both flight and non-flight related activities, and can be used for the redemption of award flights and upgrades, among many other options. Elite miles can only be earned when flying with Singapore Airlines, SilkAir and selected partner airlines. These miles count towards Elite Silver and Elite Gold tier qualification. Similar to PPS Value, they are not redeemable for award flights, upgrade awards or purchase of airfares.	0
195	How can I access my KrisFlyer account  on singaporeair.com?	Watch this video to learn more about accessing your KrisFlyer account on singaporeaircom .	0
196	How does mixing KrisFlyer miles and cash work?	When you book on singaporeair.com, you can use your KrisFlyer miles to pay for all or part of your fare (including the associated taxes and surcharges*) on flights operated by Singapore Airlines or SilkAir. You can also use your KrisFlyer miles to purchase your advanced seat selections on flights operated by Singapore Airlines. After using your miles, the remainder of your fare will have to be paid for using your credit/debit card. Unfortunately, no physical cash can be accepted.If you book your ticket or advanced seat selections through travel agents or Singapore Airlines ticket offices or call centres, you will not have the option to mix your KrisFlyer miles and cash for payment.*Please note that fuel and insurance surcharges will be removed as a separate component and folded into the base airfare of the ticket price for Singapore Airlines and SilkAir flights progressively from 28 March 2017. Find out more here.	0
197	Why should I choose to mix KrisFlyer miles and cash?	When you mix your KrisFlyer miles and cash to purchase tickets or make seat selections on singaporeair.com, you can:	0
198	Can I mix KrisFlyer miles and cash if I am not a KrisFlyer member?	No. Only KrisFlyer members can earn KrisFlyer miles, and use them to purchase tickets on Singapore Airlines or SilkAir on singaporeair.comNot a KrisFlyer member? Join now and start earning miles with your next flight.	0
199	Can I use miles from another frequent flyer programme to purchase my ticket on Singapore Airlines or SilkAir?	No. Only KrisFlyer miles can be used to purchase your flight on Singapore Airlines or SilkAir on singaporeair.com.Not a KrisFlyer member? Join now and start earning miles with your next flight.	0
200	What is the minimum number of KrisFlyer miles required?	A minimum of 980 KrisFlyer miles is required before you can mix KrisFlyer miles and cash to purchase tickets and/or seat selection privileges. The exact amount of miles required may vary due to the conversion rate.	0
201	What if my seat selection costs less than 980 KrisFlyer miles?	You’ll be charged a minimum of 980 KrisFlyer miles, even if your preferred seat selection costs less. The additional miles will be used to offset other associated taxes and surcharges* on your ticket. *Please note that fuel and insurance surcharges will be removed as a separate component and will be folded into the base airfare of the ticket price for Singapore Airlines and SilkAir flights progressively from 28 March 2017. Find out more here.	0
202	Can I mix my KrisFlyer miles and cash to purchase tickets on SilkAir?	You can mix your KrisFlyer miles and cash to purchase tickets on flights operated by SilkAir, as long as they’re booked on singaporeair.com.If you book your tickets on silkair.com, you will not have the option to mix your KrisFlyer miles and cash for payment.	0
203	Is any type of fare excluded?	You cannot mix your KrisFlyer miles and cash to purchase:	0
204	Can I mix my KrisFlyer miles and cash to pay for the taxes and charges on my award ticket or flight upgrade?	No, you can’t mix your KrisFlyer miles and cash for the taxes and charges associated with award tickets and flight upgrades.	0
205	Can I use my KrisFlyer miles to pay for any other service or product?	Yes, you can pay for your advanced seat selections with your KrisFlyer miles. However, this will only be available when you book your advanced seat selections online together with your ticket. If you have previously booked or purchased a ticket, you can only purchase your advanced seat selections through credit/debit card.	0
206	Can I mix my KrisFlyer miles and cash for my family member’s and/or friends’ tickets and Preferred Seats?	Yes, as long as they are among your five redemption nominees. To find out how to add or change your redemption nominees, go to Redeem miles	0
207	I’ve purchased a Singapore Airlines ticket by mixing my KrisFlyer miles and cash. Can I use the ticket to fly on another airline?	No. Tickets purchased with KrisFlyer miles can only be used on flights operated by Singapore Airlines or SilkAir. They cannot be used for travel on any other airline.	0
208	Is mixing KrisFlyer miles and cash the same as redeeming miles for award tickets and flight upgrades?	No. When you choose to mix KrisFlyer miles and cash, you’re using your miles as you would a credit/debit card, Masterpass™ or PayPal. This means you have a choice of any available seat on any available flight operated by Singapore Airlines or SilkAir, when you book on singaporeair.com.	0
209	Can I continue to redeem my KrisFlyer miles for Saver and Advantage awards?	Yes, you can continue to redeem your KrisFlyer miles for Saver and Advantage awards as well as flight upgrades.	0
210	Can I use my KrisFlyer miles to pay for the associated taxes and charges on my Saver or Advantage award?	No, but we’re working towards making this option available to you soon.	0
211	Is it better to redeem my KrisFlyer miles for an award ticket or flight upgrade, or to use them to pay for my airfare?	This depends on your travel needs. Fares vary due to seasonality, flight timings and ticket conditions, so the number of KrisFlyer miles required to purchase the fare also varies accordingly. In the same way, the number of miles required for redemption depends on the type of award you choose and accompanying ticket conditions. We advise you to make an informed comparison, before deciding on the best option for your travel needs.	0
212	Can I make changes to a ticket that has been purchased with KrisFlyer miles?	Yes you can, as long as the conditions of your selected fare allow for changes to be made to your flight or itinerary. Relevant fees may apply, and must be paid with your credit/debit card.	0
213	How can I make changes to a ticket that has been purchased with KrisFlyer miles?	You can make changes to your flight or itinerary by:(i) submitting a request on the Manage Booking page; or(ii) contacting KrisFlyer Membership Services or your local Singapore Airlines office.If you wish to change your seat and/or meal requests, you may do so on the Manage Booking page.	0
214	Can I get a refund for a ticket that has been purchased with KrisFlyer miles?	Yes you can, as long as the conditions of your selected fare allow for a cancellation. Relevant fees may apply, which will first be deducted from the amount you paid in miles and any outstanding shortfall deducted from the amount paid with credit/debit card.You’ll be refunded the total amount you’ve paid, excluding the relevant cancellation fees. Your refund will be applied to your credit/debit card, up to the amount that you had paid using the card. Any remaining amount will be refunded in KrisFlyer miles. However, expired KrisFlyer miles can’t be refunded.	0
215	If the KrisFlyer miles used to purchase my ticket have expired, will they be refunded?	No. Expired KrisFlyer miles can’t be refunded to your KrisFlyer account. For your benefit, the miles with the latest expiry date will be refunded first.	0
216	Can I get a refund for a advanced seat selections that has been purchased with KrisFlyer miles?	No. advanced seat selections are non-refundable, whether they were purchased with KrisFlyer miles or credit/debit card.	0
217	If I’d purchased my ticket with a credit/debit card and my advanced seat selections with KrisFlyer miles, can I make changes to my ticket on singaporeair.com?	Yes, you can. However, if you change your flight, the advanced seat selections you had selected will be forfeited.	0
218	Will I earn KrisFlyer miles, Elite miles, and PPS Value if I mix KrisFlyer miles and cash for my:	a) fare on Singapore Airlines or SilkAir for myself?Yes, you can earn KrisFlyer and Elite miles on eligible fares across all classes of travel and PPS Value on eligible fares in Suites, First Class and Business Class. KrisFlyer miles, Elite miles and PPS Value will be earned in proportion to the amount (excluding taxes) that you have paid with your credit/debit card. If the full amount is paid with miles, you won’t earn KrisFlyer miles, Elite miles and PPS Value.(b) fare on Singapore Airlines or SilkAir for my redemption nominee(s) only?No, you won’t earn miles when you’re not a passenger in the same booking. If your redemption nominee is a KrisFlyer or PPS Club member, he/she will earn KrisFlyer miles, Elite miles and PPS Value on eligible fares. KrisFlyer miles, Elite miles and PPS Value will be earned in proportion to the amount (excluding taxes) that you have paid with your credit/debit card.(c) fare on Singapore Airlines or SilkAir for myself and my redemption nominee(s), with whom I’ll be travelling?Yes, you can earn KrisFlyer and Elite miles on your own eligible fare across all classes of travel and PPS Value on your own eligible fare in Suites, First Class and Business Class. KrisFlyer miles, Elite miles and PPS Value will be earned in proportion to the amount (excluding taxes) that you have paid with your credit/debit card.To maximise the number of KrisFlyer miles, Elite miles and PPS Value you’ll earn from the booking, the amount paid with KrisFlyer miles will firstly be allocated to taxes for all passengers. Any additional KrisFlyer miles will then be allocated to the fares and surcharges* in this order: passengers who are not KrisFlyer members, passengers who are KrisFlyer members and lastly, yourself. Any remaining cost will then be paid by credit/debit card to earn KrisFlyer miles, Elite miles or PPS Value.(d) Advanced seat selections on Singapore Airlines flights for myself or my redemption nominee(s)?No, you won’t earn KrisFlyer miles, Elite miles or PPS Value on payment for advanced seat selections.*Please note that fuel and insurance surcharges will be removed as a separate component and folded into the base airfare of the ticket price for Singapore Airlines and SilkAir flights progressively from 28 March 2017. Find out more here.	0
219	Can I credit the KrisFlyer miles earned to another frequent flyer programme?	No. When you use KrisFlyer miles to pay for your ticket on Singapore Airlines or SilkAir, the miles you earn can only be credited to your KrisFlyer account.	0
220	If I don’t have enough KrisFlyer miles, can I purchase miles to pay for my fare?	No. You can only purchase KrisFlyer miles if you don’t have enough to redeem for an award ticket. Find out how to purchase KrisFlyer miles for an award ticket.	0
221	How do I mix KrisFlyer miles and cash when I book  on singaporeair.com?	Find out  how you can mix KrisFlyer miles and cash when booking your next trip on singaporeair.com.	0
222	Why must I present my credit/debit card for verification before departure?	When you use your credit/debit card on our website, our fraud detection tool uses several types of information in your booking – such as the time to departure, your point of departure and destinations. A sophisticated algorithm determines the risk level of your payment transaction. If the risk level of your booking is high, you may be required to verify your credit/debit card in person, as well as provide photo identification. This verification process protects you against credit/debit card fraud and ensures your security as you use your credit/debit card on our website.	0
223	I’ve booked a flight for someone else and paid with my credit/debit card. Can the passenger present the credit/debit card for verification on my behalf?	No. For your security, it’s mandatory for you, the cardholder, to present the physical credit/debit card in person for verification. If you’re unable to do this, get in touch with your local Singapore Airlines office.	0
224	What are the Verified by Visa and MasterCard SecureCode programmes?	They ensure the security of your online transactions with Visa and MasterCard credit/debit cards, by requesting that you enter a unique password for each online transaction. This helps to prevent the unauthorised use of your credit/debit card online.Click here for more information on Verified by Visa. Click here for more information on MasterCard SecureCode.	0
225	What is PayPal?	PayPal is a secure online payment method that allows you to pay for your purchases on singaporeair.com with money stored in your PayPal account. You can also link your PayPal account to your bank account or credit/debit card and use them for payment. Click here for more information on PayPal.	0
226	Must I be a registered PayPal user?	Yes, you can only choose the PayPal payment option on singaporeair.com if you’re a registered PayPal user with a username and password to access your PayPal account online.	0
227	Is PayPal available worldwide?	Right now, PayPal is available for bookings made out of Singapore, Australia, Greece, Hong Kong, Japan, Malaysia, the Netherlands, Norway, Spain, Taiwan, the United Kingdom and the USA. We’re working towards making it available in more countries soon.	0
228	I’ve paid for my booking through PayPal. Can I change my itinerary, cancel my flight and/or request for a refund on singaporeair.com?	No, you’re not able to change your itinerary, cancel your flight and/or request for a refund on singaporeair.com if you’ve paid using PayPal. Please get in touch with your local Singapore Airlines office instead. Additional charges, if any, are payable with your credit/debit card.	0
229	What can I do if I see an unauthorised booking on singaporeair.com paid using my PayPal account or credit/debit card?	If you notice any unauthorised activity on your PayPal account, report it to the PayPal Resolution Centre immediately. If you notice any unauthorised activity on your credit/debit card, report it to your card-issuing bank.	0
230	Can I pay for travel insurance and/or a Singapore Stopover Holiday through PayPal?	Not yet, but we’re working towards making this payment option available to you soon. In the meantime, you can pay for your travel insurance and Singapore Stopover Holiday with your credit/debit card.	0
231	Can I book a flight on singaporeair.com in a different currency?	When you book a ticket online, the total cost will be quoted in the country of departure’s currency. You can choose from a range of currencies when you pay with your credit card. The available currency options are presented on the payment page after you enter your card details. If the billing currency of your credit card is different from the currency charged for this booking, your bank will perform the relevant conversion at their prevailing exchange rate and may charge a conversion fee.	0
232	How will I earn PPS Value?	When you fly in Singapore Airlines’ Suites, First or Business Class, or in Business Class on SilkAir, you earn PPS Value, which goes towards your PPS Club status.PPS Value is based on your airfare and fuel surcharge*, but not airport taxes. It’s calculated in Singapore dollars, so if you’ve bought your ticket in another currency, the airfare and fuel surcharge* portions are converted to Singapore dollars to determine your PPS Value.*Please note that fuel and insurance surcharges will be removed as a separate component and folded into the base airfare of the ticket price for Singapore Airlines and SilkAir flights progressively from 28 March 2017. Find out more here.	0
233	Why are taxes and fees not included in the PPS Value I earn?	Airport taxes and other fees are paid directly to government agencies and not to us. Therefore, we’re unable to credit PPS Value to you on these charges.	0
234	Will PPS Value be credited for itineraries that include flights operated by partner airlines?	No. PPS Value will only be credited for flights operated by Singapore Airlines and/or SilkAir, and not for flights operated by our partner airlines. For instance, if you’re flying from Singapore to Munich via Frankfurt, you’ll receive PPS Value for the flight from Singapore to Frankfurt as you’ll be flying on a Singapore Airlines aircraft. From Frankfurt to Munich, you’ll fly on the aircraft of our partner airline, Lufthansa, so you won’t earn PPS Value.	0
235	Will PPS Value be credited for codeshare flights?	Yes. If you fly in First or Business Class on a codeshare flight, you’ll earn PPS Value if your journey’s on a Singapore Airlines or SilkAir aircraft.	0
